origin,destination,weight,PROVINCIA ORIGEN,PROVINCIA DESTINO
35,12,0.00023711412879783136,Las Palmas,Castellón/Castelló
35,42,5.126791974007165e-05,Las Palmas,Soria
35,14,0.0005703556071082972,Las Palmas,Córdoba
35,33,0.0012240215837942107,Las Palmas,Asturias
35,20,0.0012047961138916838,Las Palmas,Gipuzkoa
35,47,0.00023711412879783136,Las Palmas,Valladolid
35,40,0.0002178886588953045,Las Palmas,Segovia
35,04,7.049338964259852e-05,Las Palmas,Almería
35,34,0.00010894432944765226,Las Palmas,Palencia
35,27,0.00019866318899277764,Las Palmas,Lugo
35,08,0.0036720647513826315,Las Palmas,Barcelona
35,21,0.00012816979935017912,Las Palmas,Huelva
35,19,0.0002627480886678672,Las Palmas,Guadalajara
35,28,0.012496555436642465,Las Palmas,Madrid
35,46,0.0006280320168158777,Las Palmas,Valencia/València
35,11,0.0006536659766859136,Las Palmas,Cádiz
35,17,0.0005831725870433151,Las Palmas,Girona
35,49,1.922546990252687e-05,Las Palmas,Zamora
35,29,0.001179162154021648,Las Palmas,Málaga
35,18,0.000442185807758118,Las Palmas,Granada
35,43,0.00012176130938267016,Las Palmas,Tarragona
35,26,0.00017943771909025076,Las Palmas,La Rioja
35,01,0.0001153528194151612,Las Palmas,Araba/Álava
24,28,0.04364181667873599,León,Madrid
24,49,0.02865235864473254,León,Zamora
24,40,0.0014162762828194794,León,Segovia
24,27,0.009164140653537807,León,Lugo
24,52,6.408489967508956e-06,León,Melilla
24,42,0.0008523291656786912,León,Soria
24,51,3.845093980505373e-05,León,Ceuta
24,02,0.00018584620905775972,León,Albacete
24,17,0.00044859429772562694,León,Girona
24,16,0.00031401600840793887,León,Cuenca
24,21,0.00014098677928519704,León,Huelva
24,38,0.00021148016892779555,León,Santa Cruz de Tenerife
24,44,7.690187961010748e-05,León,Teruel
24,47,0.024326627916663995,León,Valladolid
24,33,0.0739860166748909,León,Asturias
24,34,0.01424607319777241,León,Palencia
24,08,0.005479258922220158,León,Barcelona
24,03,0.0012688810135667733,León,Alicante/Alacant
24,37,0.004517985427093815,León,Salamanca
24,36,0.006152150368808598,León,Pontevedra
24,32,0.02226309414712611,León,Ourense
24,25,0.00023070563883032243,León,Lleida
24,46,0.0021019847093429376,León,Valencia/València
24,05,0.001320148933306845,León,Ávila
24,06,0.0005575386271732792,León,Badajoz
24,26,0.002172478098985536,León,La Rioja
24,10,0.0012047961138916838,León,Cáceres
24,50,0.0017302922912274183,León,Zaragoza
24,35,0.0003781009080830284,León,Las Palmas
24,11,0.0004806367475631717,León,Cádiz
24,18,0.000589581077010824,León,Granada
24,07,0.00073697634626353,León,Balears
24,23,0.0001025358394801433,León,Jaén
24,13,0.00038450939805053736,León,Ciudad Real
24,15,0.010945700864505298,León,A Coruña
24,39,0.009221817063245388,León,Cantabria
24,45,0.001057400844638978,León,Toledo
24,09,0.006075248489198491,León,Burgos
24,22,0.000884371615516236,León,Huesca
24,30,0.0006664829566209315,León,Murcia
24,20,0.0013585998731118988,León,Gipuzkoa
24,19,0.0012624725235992644,León,Guadalajara
24,48,0.00460770428663894,León,Bizkaia
24,41,0.001018949904833924,León,Sevilla
24,01,0.002031491319700339,León,Araba/Álava
24,29,0.0011086687643790494,León,Málaga
24,43,0.0006280320168158777,León,Tarragona
24,31,0.0014803611824945689,León,Navarra
24,14,9.612734951263434e-05,León,Córdoba
24,04,0.0002050716789602866,León,Almería
24,12,0.00012176130938267016,León,Castellón/Castelló
25,08,0.25240478586030773,Lleida,Barcelona
25,20,0.0021019847093429376,Lleida,Gipuzkoa
25,43,0.09344219221624808,Lleida,Tarragona
25,22,0.07644687682241434,Lleida,Huesca
25,28,0.01215690546836449,Lleida,Madrid
25,12,0.006286728658126286,Lleida,Castellón/Castelló
25,29,0.00025633959870035824,Lleida,Málaga
25,42,0.00022429714886281347,Lleida,Soria
25,07,0.0011983876239241749,Lleida,Balears
25,33,0.00046141127766064486,Lleida,Asturias
25,09,0.0002050716789602866,Lleida,Burgos
25,34,1.922546990252687e-05,Lleida,Palencia
25,50,0.014566497696147858,Lleida,Zaragoza
25,03,0.0028197355857039405,Lleida,Alicante/Alacant
25,31,0.0012624725235992644,Lleida,Navarra
25,01,0.0005319046673032434,Lleida,Araba/Álava
25,11,8.331036957761642e-05,Lleida,Cádiz
25,13,0.00026915657863537615,Lleida,Ciudad Real
25,23,9.612734951263434e-05,Lleida,Jaén
25,40,0.0003652839281480105,Lleida,Segovia
25,41,0.0002755650686028851,Lleida,Sevilla
25,24,0.0001730292291227418,Lleida,León
25,37,8.971885954512538e-05,Lleida,Salamanca
25,49,3.845093980505373e-05,Lleida,Zamora
25,47,0.00024352261876534032,Lleida,Valladolid
25,18,0.00023711412879783136,Lleida,Granada
25,35,6.408489967508956e-05,Lleida,Las Palmas
25,21,3.204244983754478e-05,Lleida,Huelva
25,17,0.0671097069397538,Lleida,Girona
25,46,0.011906974359631641,Lleida,Valencia/València
25,44,0.0010702178245739957,Lleida,Teruel
25,26,0.0007818357760360927,Lleida,La Rioja
25,48,0.001909730010317669,Lleida,Bizkaia
25,39,0.0006600744666534226,Lleida,Cantabria
25,45,0.00042936882782310007,Lleida,Toledo
25,02,0.00016662073915523284,Lleida,Albacete
25,19,0.00024352261876534032,Lleida,Guadalajara
25,38,0.000147395269252706,Lleida,Santa Cruz de Tenerife
25,04,0.0003460584582454836,Lleida,Almería
25,15,0.0002499311087328493,Lleida,A Coruña
25,14,0.0001153528194151612,Lleida,Córdoba
25,30,0.0005190876873682255,Lleida,Murcia
25,10,1.922546990252687e-05,Lleida,Cáceres
25,36,0.00012176130938267016,Lleida,Pontevedra
25,06,0.00012176130938267016,Lleida,Badajoz
27,15,0.13891683702569166,Lugo,A Coruña
27,47,0.001057400844638978,Lugo,Valladolid
27,03,0.0003652839281480105,Lugo,Alicante/Alacant
27,08,0.0025377620271335465,Lugo,Barcelona
27,09,0.00044859429772562694,Lugo,Burgos
27,22,8.331036957761642e-05,Lugo,Huesca
27,45,0.00023711412879783136,Lugo,Toledo
27,20,0.00041655184788808215,Lugo,Gipuzkoa
27,30,0.00018584620905775972,Lugo,Murcia
27,14,3.204244983754478e-05,Lugo,Córdoba
27,11,0.00023070563883032243,Lugo,Cádiz
27,38,0.0002178886588953045,Lugo,Santa Cruz de Tenerife
27,33,0.08549566465653698,Lugo,Asturias
27,28,0.01055478297648725,Lugo,Madrid
27,43,0.00019866318899277764,Lugo,Tarragona
27,37,0.0003268329883429568,Lugo,Salamanca
27,19,0.0001730292291227418,Lugo,Guadalajara
27,16,0.0001602122491877239,Lugo,Cuenca
27,07,0.00024352261876534032,Lugo,Balears
27,02,7.049338964259852e-05,Lugo,Albacete
27,21,0.00015380375922021495,Lugo,Huelva
27,44,3.845093980505373e-05,Lugo,Teruel
27,40,0.00019866318899277764,Lugo,Segovia
27,24,0.010048512269054044,Lugo,León
27,32,0.05004389815627744,Lugo,Ourense
27,36,0.029748210429176573,Lugo,Pontevedra
27,48,0.0011535281941516121,Lugo,Bizkaia
27,18,4.485942977256269e-05,Lugo,Granada
27,39,0.0011471197041841032,Lugo,Cantabria
27,49,0.0007305678562960211,Lugo,Zamora
27,06,9.612734951263434e-05,Lugo,Badajoz
27,23,8.971885954512538e-05,Lugo,Jaén
27,41,0.00031401600840793887,Lugo,Sevilla
27,12,8.971885954512538e-05,Lugo,Castellón/Castelló
27,50,0.00044859429772562694,Lugo,Zaragoza
27,46,0.000435777317790609,Lugo,Valencia/València
27,29,0.0001025358394801433,Lugo,Málaga
27,42,0.000147395269252706,Lugo,Soria
27,05,0.0002178886588953045,Lugo,Ávila
27,26,0.00035246694821299256,Lugo,La Rioja
27,35,0.00037169241811551944,Lugo,Las Palmas
27,01,0.0003268329883429568,Lugo,Araba/Álava
27,34,0.00019866318899277764,Lugo,Palencia
27,10,0.00023711412879783136,Lugo,Cáceres
27,31,0.00040373486795306423,Lugo,Navarra
27,25,7.690187961010748e-05,Lugo,Lleida
27,04,5.126791974007165e-05,Lugo,Almería
28,43,0.00620341828854867,Madrid,Tarragona
28,01,0.00601757207949091,Madrid,Araba/Álava
28,45,0.7842966361836161,Madrid,Toledo
28,08,0.0613228404990932,Madrid,Barcelona
28,39,0.01522657216280128,Madrid,Cantabria
28,30,0.027941016258339047,Madrid,Murcia
28,47,0.03158744704985164,Madrid,Valladolid
28,44,0.002467268637490948,Madrid,Teruel
28,37,0.020513576385996168,Madrid,Salamanca
28,03,0.053626244048114946,Madrid,Alicante/Alacant
28,40,0.12494632889652212,Madrid,Segovia
28,17,0.005761232480790552,Madrid,Girona
28,36,0.008292586017956589,Madrid,Pontevedra
28,32,0.004761508045859154,Madrid,Ourense
28,24,0.013560364771248952,Madrid,León
28,14,0.0151688957530937,Madrid,Córdoba
28,22,0.024409938286241613,Madrid,Huesca
28,18,0.02160301968047269,Madrid,Granada
28,35,0.014169171318162302,Madrid,Las Palmas
28,21,0.004787142005729191,Madrid,Huelva
28,19,0.430765878636017,Madrid,Guadalajara
