Fecha,cod_ine,provincia,Casos,Fallecidos,Hospitalizados,UCI,z_newCases
2020-04-08,35,Las Palmas,18,1,2,0,-0.3873721035742702
2020-04-08,36,Pontevedra,97,6,12,1,-0.27976345719174295
2020-04-08,37,Salamanca,71,5,18,3,-0.16269789223120323
2020-04-08,38,Santa Cruz de Tenerife,10,3,26,0,-0.3787377982013181
2020-04-08,39,Cantabria,53,5,20,3,-0.30048908233224136
2020-04-08,40,Segovia,12,15,18,1,-0.3845552134937389
2020-04-08,41,Sevilla,43,9,20,3,-0.6137273900636339
2020-04-08,42,Soria,44,7,9,0,0.23075396325173886
2020-04-08,43,Tarragona,60,13,25,2,-0.3509571580704154
2020-04-08,44,Teruel,22,4,3,1,-0.2669907991934172
2020-04-08,45,Toledo,122,23,60,4,-0.23692856010203575
2020-04-08,46,Valencia/València,132,14,59,4,-0.37369111309029857
2020-04-08,47,Valladolid,241,15,36,3,0.12893463635138905
2020-04-08,48,Bizkaia,179,22,79,6,-0.26462840307141
2020-04-08,49,Zamora,6,4,7,0,-0.4335078877973264
2020-04-08,50,Zaragoza,120,19,33,1,-0.3076401319050349
2020-04-08,51,Ceuta,3,0,0,0,-0.3564514097480947
2020-04-09,0,No consta,103,6,28,5,0.8863630635443106
2020-04-09,1,Araba/Álava,58,8,9,0,-0.23723420215878277
2020-04-09,2,Albacete,61,7,28,1,-0.2089460923850635
2020-04-09,3,Alicante/Alacant,58,7,31,3,-0.39204130464038484
2020-04-09,4,Almería,2,2,0,1,-0.5784072752715812
2020-04-09,5,Ávila,29,5,12,0,-0.19333616759493555
2020-04-09,6,Badajoz,24,2,6,0,-0.42463883963366467
2020-04-09,7,Balears,24,5,10,0,-0.44241031455925145
2020-04-09,8,Barcelona,1017,135,338,12,-0.24702315643190706
2020-04-09,9,Burgos,80,7,15,0,-0.1866923330135542
2020-04-09,10,Cáceres,50,14,21,0,-0.24952066627767128
2020-04-09,11,Cádiz,34,2,10,0,-0.5459313788801858
2020-04-09,12,Castellón/Castelló,65,2,16,2,-0.27201143960917795
2020-04-09,13,Ciudad Real,44,34,27,0,-0.35693318108739736
2020-04-09,14,Córdoba,21,2,4,3,-0.5206675455312424
2020-04-09,15,A Coruña,77,10,14,2,-0.3386193541488084
2020-04-09,16,Cuenca,30,6,15,1,-0.26292969724126103
2020-04-09,17,Girona,85,13,24,0,-0.33902688179418494
2020-04-09,18,Granada,26,5,16,1,-0.5736655346915961
2020-04-09,19,Guadalajara,17,3,14,1,-0.39800687213177915
2020-04-09,20,Gipuzkoa,41,18,17,0,-0.41686652306902106
2020-04-09,21,Huelva,8,1,3,0,-0.5864250861339777
2020-04-09,22,Huesca,18,2,3,1,-0.377765806135189
2020-04-09,23,Jaén,27,5,12,4,-0.5219715947733031
2020-04-09,24,León,60,11,26,1,-0.27784549088658933
2020-04-09,25,Lleida,63,2,14,4,-0.3285212856339043
2020-04-09,26,La Rioja,93,7,24,2,-0.08812211669057986
2020-04-09,27,Lugo,31,1,1,0,-0.25937020453030496
2020-04-09,28,Madrid,925,124,497,22,-0.3235188087281174
2020-04-09,29,Málaga,43,6,13,2,-0.5847242437390294
2020-04-09,30,Murcia,38,2,6,1,-0.3988584301517327
2020-04-09,31,Navarra,124,17,21,0,-0.25776702349402725
2020-04-09,32,Ourense,70,6,7,1,-0.052495022894323694
2020-04-09,33,Asturias,48,16,28,1,-0.37468174620637273
2020-04-09,34,Palencia,38,3,9,0,-0.20632601313123955
2020-04-09,35,Las Palmas,9,0,5,1,-0.4082847694524727
2020-04-09,36,Pontevedra,35,5,8,0,-0.3983037080883356
2020-04-09,37,Salamanca,59,9,15,1,-0.21955053447796927
2020-04-09,38,Santa Cruz de Tenerife,16,1,12,2,-0.36503482721396585
2020-04-09,39,Cantabria,34,4,17,2,-0.35446630012395497
2020-04-09,40,Segovia,51,12,15,0,-0.009076458455131697
2020-04-09,41,Sevilla,49,9,15,0,-0.6017631612753763
2020-04-09,42,Soria,15,10,7,0,-0.25286187330215376
2020-04-09,43,Tarragona,61,19,22,0,-0.3493040410782818
2020-04-09,44,Teruel,24,4,1,1,-0.24705778549983573
2020-04-09,45,Toledo,75,14,41,1,-0.3714744667825794
2020-04-09,46,Valencia/València,139,19,49,6,-0.3701279684046957
2020-04-09,47,Valladolid,174,18,26,1,-0.04795622777618291
2020-04-09,48,Bizkaia,184,23,36,2,-0.2589217310049121
2020-04-09,49,Zamora,39,7,5,0,-0.08585986672117467
2020-04-09,50,Zaragoza,107,17,38,2,-0.32395728478388985
2020-04-09,51,Ceuta,4,0,0,0,-0.33939797934685284
2020-04-10,0,No consta,106,4,17,0,0.9357637467209553
2020-04-10,1,Araba/Álava,28,10,3,1,-0.36155321202397595
2020-04-10,2,Albacete,80,6,28,1,-0.12116122366063492
2020-04-10,3,Alicante/Alacant,45,9,19,2,-0.4019945138177304
2020-04-10,4,Almería,4,1,1,0,-0.5713473391213306
2020-04-10,5,Ávila,52,6,7,0,0.029823788846211483
2020-04-10,6,Badajoz,16,5,2,0,-0.4449191733970151
2020-04-10,7,Balears,17,7,9,1,-0.45282139376142166
2020-04-10,8,Barcelona,812,138,292,17,-0.2924559369203467
2020-04-10,9,Burgos,56,6,11,2,-0.2741678464255683
2020-04-10,10,Cáceres,22,8,8,2,-0.37875560046384726
2020-04-10,11,Cádiz,20,3,4,1,-0.5852449546955723
2020-04-10,12,Castellón/Castelló,44,7,14,0,-0.31540476722920624
2020-04-10,13,Ciudad Real,175,21,35,2,0.1412164037946791
2020-04-10,14,Córdoba,21,4,7,0,-0.5206675455312424
2020-04-10,15,A Coruña,83,14,19,0,-0.32830167651037745
2020-04-10,16,Cuenca,23,7,15,2,-0.32019739029464045
2020-04-10,17,Girona,56,7,13,4,-0.38815796371101735
2020-04-10,18,Granada,29,12,17,0,-0.5644746003753071
2020-04-10,19,Guadalajara,29,5,18,0,-0.3250144393503881
2020-04-10,20,Gipuzkoa,55,9,17,0,-0.3941889380510433
2020-04-10,21,Huelva,2,5,6,0,-0.6248396640263817
2020-04-10,22,Huesca,7,3,3,0,-0.4391379318768385
2020-04-10,23,Jaén,37,5,8,1,-0.4748785756280172
2020-04-10,24,León,107,8,15,2,-0.09478559924520565
2020-04-10,25,Lleida,44,3,7,1,-0.38882286970048163
2020-04-10,26,La Rioja,98,9,23,0,-0.0658521714398578
2020-04-10,27,Lugo,1,0,2,1,-0.46212006108010084
2020-04-10,28,Madrid,956,159,451,27,-0.31429753719996606
2020-04-10,29,Málaga,27,7,16,0,-0.6181991157721608
2020-04-10,30,Murcia,13,3,4,1,-0.4219530980259855
2020-04-10,31,Navarra,139,13,27,1,-0.23338695380517185
2020-04-10,32,Ourense,28,10,10,0,-0.31379865615539315
2020-04-10,33,Asturias,43,5,28,0,-0.3841709054412532
2020-04-10,34,Palencia,7,1,3,2,-0.46752722038202055
2020-04-10,35,Las Palmas,2,0,1,1,-0.4245501762466302
2020-04-10,36,Pontevedra,45,7,9,0,-0.3791843127824336
2020-04-10,37,Salamanca,60,15,17,1,-0.21481281429073876
2020-04-10,38,Santa Cruz de Tenerife,29,0,8,0,-0.33534505674136933
